,Rteam_TOP,Bteam_TOP,Rteam_MIDDLE,Bteam_MIDDLE,Rteam_BOTTOM,Bteam_BOTTOM,Rteam_SUPPORT,Bteam_SUPPORT,Rteam_JUNGLE,Bteam_JUNGLE
148,Gangplank,Jax,Orianna,Ahri,Lucian,Xayah,Xerath,Fiddlesticks,Kayn,Nidalee
149,Fiora,Jax,Talon,Yasuo,Ezreal,Xayah,Yuumi,Fiddlesticks,Karthus,Elise
152,Sylas,Aatrox,Fizz,Leblanc,Ashe,Lucian,Fiddlesticks,Thresh,Graves,Nidalee
154,Aatrox,Irelia,Pantheon,Leblanc,Jinx,Caitlyn,Thresh,Janna,Evelynn,Taliyah
155,Gangplank,Garen,Vladimir,Kassadin,Jhin,Kaisa,Zilean,Thresh,Sylas,Evelynn
156,Darius,Renekton,Zoe,Orianna,Jinx,Tristana,Nautilus,Thresh,Elise,Nunu
159,Sylas,Mordekaiser,Garen,Orianna,Vayne,Caitlyn,Yuumi,Nautilus,Evelynn,Gragas
161,Poppy,Karma,TwistedFate,Ryze,Kaisa,KogMaw,Nautilus,Lulu,LeeSin,Taliyah
162,Mordekaiser,Jayce,Zed,Ekko,Xayah,Jinx,Fiddlesticks,Thresh,Taliyah,Gragas
163,Vladimir,Jayce,Qiyana,Leblanc,Ezreal,Kaisa,Yuumi,Leona,Taliyah,Khazix
164,Kayle,Aatrox,Syndra,Kassadin,Kaisa,Jinx,Nami,Xerath,LeeSin,Evelynn
165,Mordekaiser,Kennen,Tristana,TwistedFate,Sivir,Caitlyn,Nautilus,Xerath,Jax,Elise
166,Vayne,Kayle,Talon,Diana,Xayah,Lucian,Yuumi,Lux,Zac,LeeSin
170,Kled,Mordekaiser,Leblanc,Yasuo,Tristana,Ezreal,Rakan,Fiddlesticks,Khazix,Nidalee
172,Shen,Mordekaiser,Vladimir,Katarina,Kaisa,Ezreal,Rakan,Yuumi,Elise,Ekko
179,Poppy,Teemo,Qiyana,Zed,Ashe,Ezreal,Morgana,Fiddlesticks,Ekko,LeeSin
184,Shen,Yasuo,Leblanc,Annie,Kaisa,Xayah,Fiddlesticks,Rakan,Olaf,Nidalee
186,Garen,Camille,Akali,Kassadin,Ashe,Kaisa,Morgana,Thresh,Elise,LeeSin
187,Camille,Tryndamere,Qiyana,Neeko,Caitlyn,Kaisa,Zyra,Thresh,Elise,Fiddlesticks
190,Pyke,Gangplank,Leblanc,Zoe,Kaisa,Lucian,Leona,Yuumi,Poppy,Olaf
191,Gangplank,Vladimir,Kassadin,Leblanc,Xayah,Kaisa,Gragas,Fiddlesticks,Ekko,LeeSin
192,Teemo,Kayle,Yasuo,Zilean,Kaisa,Jinx,Leona,Fiddlesticks,Poppy,LeeSin
193,Vladimir,Ryze,Kayle,Fizz,Lucian,Ezreal,Yuumi,Bard,LeeSin,Zac
195,Kled,Fiora,Sylas,Katarina,Taliyah,Swain,Alistar,Fiddlesticks,LeeSin,Rengar
196,Renekton,Volibear,Akali,Katarina,Lucian,Ezreal,Thresh,Yuumi,Rengar,Nocturne
198,Renekton,Pantheon,Ahri,AurelionSol,Lucian,Kaisa,Fiddlesticks,Thresh,JarvanIV,Hecarim
199,Singed,Lucian,Zoe,Talon,Kaisa,Draven,Fiddlesticks,Janna,RekSai,JarvanIV
217,Kayle,Irelia,Zoe,Rumble,Ezreal,Kaisa,Lux,Thresh,Khazix,Karthus
228,Irelia,Mordekaiser,Garen,Talon,Taliyah,Vayne,Yuumi,Nami,LeeSin,RekSai
230,Jax,Kayle,Jayce,Lucian,Vayne,Kaisa,Soraka,Shaco,Elise,Gragas
231,Fiora,Riven,Taliyah,Zoe,Kaisa,Caitlyn,Lux,Morgana,Khazix,XinZhao
237,Vladimir,Ekko,Camille,Qiyana,Kaisa,Vayne,Volibear,Leona,Gragas,Udyr
238,Jax,Riven,Pantheon,Qiyana,Xayah,Kaisa,Leona,Thresh,Karthus,Elise
241,Jax,Kled,Orianna,Vladimir,Lucian,Vayne,Thresh,Lulu,XinZhao,LeeSin
244,Urgot,Garen,Renekton,Akali,Heimerdinger,MissFortune,Leona,Swain,Ivern,Qiyana
249,Gangplank,Quinn,Ryze,Pantheon,Ezreal,Xayah,Lux,Rakan,Khazix,Ekko
253,Kayle,Renekton,Kassadin,Fizz,Ashe,Lucian,Bard,Pyke,Elise,LeeSin
255,Illaoi,Fiora,Akali,AurelionSol,Ezreal,Kaisa,Blitzcrank,Nautilus,Elise,Kindred
257,Vayne,Kennen,Annie,Yasuo,Kaisa,Caitlyn,Alistar,Morgana,Shaco,Gragas
264,Riven,Renekton,Syndra,Yasuo,Lucian,Kaisa,Leona,Nautilus,Kindred,Zac
269,Riven,Camille,Lissandra,Zoe,Kaisa,MissFortune,Thresh,Lulu,LeeSin,MasterYi
270,Heimerdinger,Riven,Galio,Talon,Lucian,Cassiopeia,Blitzcrank,Leona,XinZhao,Zac
271,Garen,Riven,Talon,Aatrox,Kaisa,Sivir,Morgana,Yuumi,Kindred,Ekko
274,Riven,Aatrox,Shaco,Zoe,Ezreal,MissFortune,Blitzcrank,Morgana,LeeSin,Kindred
286,Vayne,Riven,Galio,Zoe,Ezreal,Heimerdinger,Nami,Leona,Kayn,XinZhao
290,Riven,Pantheon,AurelionSol,Azir,Ashe,Ezreal,Morgana,Yuumi,RekSai,Shaco
292,Riven,Fiora,Garen,Fizz,Lucian,Kaisa,Heimerdinger,Leona,Elise,Vi
293,Riven,Gangplank,Cassiopeia,Vladimir,Vayne,Kaisa,Lulu,Zyra,Rammus,Vi
297,Riven,Kayle,TwistedFate,Vladimir,Kalista,Ashe,Thresh,Bard,Shaco,Elise
298,Vayne,Riven,Garen,Viktor,Caitlyn,Jinx,Leona,Shen,Hecarim,Gragas
299,Lucian,Riven,Talon,Ezreal,Kaisa,Twitch,Fiddlesticks,Volibear,Karthus,Ekko
302,Kennen,Vladimir,Aatrox,Camille,Xayah,MissFortune,Thresh,Morgana,LeeSin,Nidalee
305,Gangplank,Renekton,Ryze,Akali,Caitlyn,Xayah,Janna,Rakan,Qiyana,Twitch
306,Garen,Fiora,Jayce,Ryze,Ezreal,Jinx,Zilean,Thresh,Evelynn,Ekko
313,Akali,Jax,Cassiopeia,Lissandra,Lucian,Ashe,Soraka,Morgana,LeeSin,RekSai
314,Jax,Teemo,Irelia,Zoe,Kaisa,Ezreal,Morgana,Janna,Nunu,Olaf
316,Mordekaiser,Yorick,Pantheon,Garen,Ezreal,Vayne,Karma,Morgana,Sejuani,DrMundo
326,Ornn,Vi,Pyke,Mordekaiser,Caitlyn,Ezreal,Lux,Leblanc,Qiyana,LeeSin
327,Irelia,Cassiopeia,Karma,Jayce,Ezreal,Draven,Thresh,Leona,Kindred,Ekko
328,Gangplank,Renekton,Ryze,Akali,Ashe,Kaisa,Xerath,Morgana,Taliyah,Rengar
329,Aatrox,Pantheon,Yasuo,Viktor,Varus,Ezreal,Lux,Blitzcrank,Evelynn,Ekko
333,Ornn,Sylas,Pyke,Vladimir,Kaisa,Xayah,Leona,Morgana,Nunu,Ekko
336,Kled,Mordekaiser,Syndra,Talon,Lucian,Ashe,Braum,Leona,Shyvana,Ekko
338,Maokai,Camille,Akali,Sylas,Kalista,Ashe,Nautilus,Velkoz,Khazix,Kindred
339,Kayle,Fiora,Talon,Ekko,Jhin,Vayne,Sona,Xerath,Kayn,Nidalee
343,Jax,Renekton,Kassadin,Ezreal,Ashe,Ashe,Blitzcrank,Lux,Sylas,Kayn
345,Chogath,Teemo,Yasuo,Vladimir,Kaisa,Lucian,Nautilus,Braum,Ekko,Warwick
348,Akali,Irelia,Irelia,Katarina,Tristana,Jhin,Lucian,Blitzcrank,LeeSin,Rammus
351,Renekton,Olaf,Galio,Irelia,MissFortune,Ashe,Gragas,Braum,RekSai,Shyvana
354,Renekton,Camille,Akali,Cassiopeia,Ezreal,Kaisa,Soraka,Morgana,Nocturne,LeeSin
358,Ryze,Karma,Zoe,Irelia,Jinx,MissFortune,Alistar,Leona,Shyvana,Sejuani
359,Gangplank,Akali,Fizz,Garen,Ezreal,Kaisa,Lulu,Nautilus,Olaf,Rammus
361,Sylas,Camille,Renekton,Katarina,Xayah,Kaisa,Leona,Rakan,Taliyah,Nidalee
363,Camille,Vladimir,Qiyana,Nocturne,Xayah,Caitlyn,Bard,Gragas,Elise,Nidalee
364,Renekton,Draven,Syndra,Orianna,Ezreal,Vayne,TahmKench,Leona,Sylas,Gragas
365,Jax,Tryndamere,Syndra,Zoe,Lucian,Ezreal,Thresh,Karma,DrMundo,Ekko
366,Lucian,Renekton,Sylas,Orianna,Yasuo,Xayah,Gragas,Thresh,Khazix,Poppy
367,Jax,Jayce,Lucian,Kassadin,Jinx,Kaisa,Morgana,Nautilus,Ekko,Olaf
370,Fiora,Mordekaiser,Renekton,Pantheon,Vayne,Sivir,Karma,Zyra,Nidalee,Nunu
377,Garen,Fiora,Morgana,Yasuo,Kaisa,Ezreal,Nami,Ashe,LeeSin,DrMundo
378,Darius,Vayne,Renekton,Zoe,Jinx,Jinx,Pyke,Gragas,MonkeyKing,Sylas
379,Tryndamere,Teemo,Vayne,Qiyana,Lucian,Xayah,Pyke,Rakan,Warwick,MasterYi
382,Jayce,Tryndamere,Viktor,Sylas,Swain,Ezreal,Leona,Thresh,LeeSin,Kayn
390,Draven,Karma,Yasuo,Akali,Xayah,Ezreal,Rakan,MissFortune,Taliyah,Olaf
394,Zed,Gnar,Darius,Yasuo,Jinx,Kaisa,Thresh,Nautilus,Graves,DrMundo
402,Kayle,Garen,Pantheon,Ahri,Caitlyn,Ezreal,Thresh,Taric,Elise,Nidalee
410,Jayce,Quinn,Akali,Qiyana,Vayne,Kalista,Nami,Sona,Karthus,Gragas
425,Sylas,Jax,Akali,Ryze,Kaisa,Ezreal,Lux,Gragas,Kayn,Ekko
427,Jax,Akali,Pantheon,Lissandra,Lucian,Ezreal,Thresh,TahmKench,Gragas,JarvanIV
430,Pantheon,Renekton,Irelia,Akali,MissFortune,Swain,Leona,Morgana,Gragas,LeeSin
431,Heimerdinger,Camille,Taliyah,Zoe,Ezreal,MissFortune,Janna,TahmKench,Kindred,Ekko
434,Vladimir,Darius,Nocturne,Ryze,Xayah,Jinx,Braum,Thresh,LeeSin,Ekko
445,Pantheon,Jax,Ryze,Akali,MissFortune,Ezreal,Karma,Braum,Gragas,Olaf
454,Jayce,Irelia,Zoe,Galio,Yasuo,Xayah,Pyke,Thresh,Ekko,RekSai
455,Gangplank,Chogath,TwistedFate,Fizz,Lucian,Varus,Leona,Thresh,Ekko,LeeSin
458,Heimerdinger,Sylas,Akali,Talon,Xayah,Kaisa,Pantheon,Nautilus,Kindred,Elise
462,Malphite,Vladimir,Syndra,Tristana,Lucian,Kaisa,Pyke,Sona,Khazix,LeeSin
463,Renekton,Kayle,Pantheon,Akali,Ashe,Caitlyn,Sona,Morgana,Elise,XinZhao
466,Aatrox,Irelia,Katarina,Zoe,Lucian,Kaisa,Pyke,Thresh,RekSai,LeeSin
468,Chogath,Jayce,Syndra,Orianna,Kaisa,Ezreal,Blitzcrank,Leona,RekSai,Taliyah
480,Aatrox,Tristana,Zoe,Irelia,MissFortune,Kaisa,Sona,Ornn,Ekko,Kindred
481,Aatrox,Jax,Katarina,Jayce,MissFortune,Ashe,Ornn,Nautilus,Khazix,Taliyah
486,Vladimir,Renekton,Aatrox,Akali,Ezreal,Syndra,Shaco,Nautilus,JarvanIV,Olaf
488,Kayle,Mordekaiser,Lucian,Ryze,Ashe,Kaisa,Nautilus,Blitzcrank,Karthus,LeeSin
489,Rammus,Kled,Syndra,Zoe,Ashe,Ezreal,Nautilus,Yuumi,Nidalee,Khazix
492,Aatrox,Olaf,Tristana,Jayce,Lucian,Ezreal,Blitzcrank,Karma,RekSai,LeeSin
494,Irelia,Akali,Lissandra,Pantheon,Lucian,Ezreal,Pyke,Bard,Taliyah,RekSai
497,Karma,Jayce,Zoe,Syndra,Jinx,Ashe,Thresh,TahmKench,XinZhao,LeeSin
498,Irelia,Mordekaiser,Syndra,Zoe,Kaisa,Lucian,Shaco,Pyke,Elise,LeeSin
500,Akali,Gangplank,Lulu,Veigar,Kaisa,Ezreal,Leona,Blitzcrank,Warwick,LeeSin
501,Akali,Quinn,Talon,Zoe,Ashe,Lucian,Braum,Leona,Gragas,Taliyah
509,Jayce,Jax,Akali,Viktor,KogMaw,Garen,Braum,Yuumi,LeeSin,Poppy
510,Renekton,Fiora,Zoe,Leblanc,Kaisa,Xayah,Nautilus,Leona,Ekko,LeeSin
511,Olaf,Camille,Zed,Renekton,Ashe,Kaisa,Karma,TahmKench,Karthus,Ekko
512,Jax,Mordekaiser,Akali,Lulu,Lucian,Kaisa,Pyke,Thresh,Ekko,LeeSin
514,Kayle,Ryze,Qiyana,Renekton,MissFortune,Kaisa,Nautilus,Thresh,Ekko,Kindred
517,Camille,Zilean,Ekko,Katarina,Ezreal,Ashe,Lux,Morgana,Elise,LeeSin
520,Aatrox,Fiora,Katarina,Talon,Ezreal,MissFortune,Blitzcrank,Nautilus,Nunu,Elise
522,Sylas,Akali,Ryze,Nocturne,Ezreal,Xayah,Rakan,Janna,RekSai,Gragas
523,Fiora,Akali,Talon,Pantheon,Ezreal,Ashe,Bard,Morgana,Taliyah,Karthus
528,Fiora,Camille,Zoe,Jayce,Xayah,Kaisa,Leona,Nautilus,Nidalee,Taliyah
531,Kayle,Jax,Katarina,Ryze,MissFortune,Ashe,Leona,Fiddlesticks,LeeSin,JarvanIV
532,Kennen,Akali,Zilean,Pantheon,Kaisa,MissFortune,Nautilus,Thresh,Gragas,Elise
535,Akali,Kayle,Garen,Renekton,MissFortune,Kaisa,Rakan,Thresh,LeeSin,Nidalee
540,Ryze,Irelia,Akali,Camille,Lucian,Ashe,Thresh,Leona,LeeSin,Gragas
545,Vladimir,Sylas,Kled,Renekton,Varus,Lucian,Pyke,Nautilus,Evelynn,Ekko
547,Darius,Fiora,Leblanc,Lissandra,Vayne,Jinx,Pyke,Blitzcrank,Ekko,RekSai
549,Rengar,Ornn,Zoe,AurelionSol,MissFortune,Lucian,Leona,Pyke,Elise,Riven
553,Aatrox,Kayle,Qiyana,Diana,Ezreal,Caitlyn,Karma,Morgana,LeeSin,Nidalee
554,Renekton,Quinn,Fizz,Qiyana,Jinx,Kaisa,Blitzcrank,Janna,Elise,Diana
557,Lucian,Gangplank,AurelionSol,Annie,Jinx,Kaisa,JarvanIV,Nautilus,Twitch,Elise
558,Vayne,Kayle,Xerath,Katarina,Lucian,Kaisa,Rakan,Leona,Karthus,XinZhao
559,Camille,Riven,Jayce,Ryze,Xayah,Lucian,Thresh,Braum,Elise,Qiyana
561,Shen,Gangplank,Anivia,Orianna,Lucian,Kaisa,Brand,Thresh,RekSai,LeeSin
562,Jax,Kayle,Zoe,Irelia,Lucian,MissFortune,Pyke,Morgana,Zac,Taliyah
567,Riven,Irelia,Syndra,Cassiopeia,Ezreal,MissFortune,Karma,Fiddlesticks,Skarner,JarvanIV
575,Riven,Irelia,Kassadin,Orianna,Lucian,Caitlyn,Blitzcrank,Leona,Ekko,XinZhao
580,Kled,Shen,Orianna,Qiyana,Xayah,Kaisa,Rakan,Nautilus,Shyvana,Nunu
582,Poppy,Fiora,Cassiopeia,Ryze,Ezreal,Lucian,Nami,Blitzcrank,Ekko,Nidalee
591,Gangplank,Neeko,TwistedFate,Yasuo,Ezreal,Xayah,Nami,Rakan,Ekko,Gragas
592,Jax,Tryndamere,Ryze,Zoe,Jhin,Ashe,Thresh,Janna,Ekko,Elise
598,Camille,Fiora,Galio,Zoe,Ezreal,Kaisa,Janna,Thresh,Nidalee,XinZhao
599,Gangplank,Renekton,Kassadin,Kayle,Xayah,MissFortune,Lulu,Karma,Sylas,XinZhao
603,Jax,Akali,Kayle,Yasuo,Kaisa,Ezreal,Gragas,Blitzcrank,Taliyah,Khazix
606,Kayle,Vladimir,Jayce,Akali,Ashe,Lucian,Morgana,Fiddlesticks,XinZhao,LeeSin
608,Renekton,Kled,Pantheon,Ryze,Ezreal,Ashe,Karma,Morgana,Elise,Gragas
609,Vladimir,Akali,Renekton,Qiyana,Kaisa,Vayne,Nautilus,Blitzcrank,JarvanIV,Elise
612,Quinn,Camille,Zed,Leblanc,Kaisa,MissFortune,Thresh,Leona,Gragas,Elise
613,Lucian,Akali,TwistedFate,AurelionSol,Kaisa,Xayah,Nautilus,Bard,XinZhao,Khazix
614,Jax,Kennen,Ryze,TwistedFate,Lucian,Kaisa,Thresh,Blitzcrank,Gragas,Olaf
615,Darius,Akali,TwistedFate,Lulu,Ashe,Xayah,Fiddlesticks,Rakan,Ekko,LeeSin
619,Jax,Fiora,Fizz,Lissandra,Lucian,Ezreal,Zilean,TahmKench,XinZhao,Taliyah
624,Renekton,Kennen,Orianna,Talon,Xayah,Kaisa,Leona,Nautilus,JarvanIV,Elise
625,Rumble,Rengar,Talon,Zoe,Ashe,Jhin,Swain,Bard,Elise,Qiyana
629,Jax,Kled,Katarina,Sylas,Ashe,Xayah,Blitzcrank,Janna,RekSai,Gragas
632,Renekton,Irelia,Katarina,Zoe,Jinx,Xayah,Blitzcrank,Pyke,Taliyah,Gragas
634,Pantheon,Vladimir,TwistedFate,Talon,Yasuo,Lucian,Nautilus,Janna,Nidalee,Elise
639,Jayce,Akali,Orianna,Lucian,Caitlyn,Kaisa,Taric,Blitzcrank,JarvanIV,Gragas
643,Gangplank,Akali,Syndra,Leblanc,Ezreal,Xayah,Rakan,Leona,Elise,Khazix
647,Fiora,Hecarim,Akali,Kennen,Ashe,Tristana,Volibear,Nautilus,Elise,Ekko
649,Aatrox,Garen,TwistedFate,Rumble,Jinx,Kaisa,Thresh,Leona,Gragas,Ekko
650,Irelia,Renekton,Lulu,Ryze,Draven,Kaisa,Nautilus,Thresh,DrMundo,Elise
652,Kled,Jax,Cassiopeia,Leblanc,Varus,Xayah,Rakan,Bard,Ekko,RekSai
654,Illaoi,Kayle,Katarina,Garen,Kaisa,Ashe,Thresh,Pyke,Elise,Ekko
657,Riven,Fiora,AurelionSol,TwistedFate,Sivir,Ezreal,Blitzcrank,Karma,Ekko,Graves
666,Heimerdinger,Jax,Malzahar,Zed,Ashe,Kaisa,Fiddlesticks,Rakan,LeeSin,RekSai
669,Shen,Fiora,Vladimir,Galio,MissFortune,Lucian,Morgana,Thresh,Olaf,Elise
677,Garen,Akali,Vladimir,Zoe,Tristana,MissFortune,Shen,Nautilus,XinZhao,Olaf
678,Rengar,Irelia,Zed,Jayce,Jinx,Kaisa,Thresh,Morgana,Gragas,Elise
680,Darius,Jayce,Vladimir,Malphite,Kaisa,Xayah,Shen,Rakan,Rengar,Elise
684,Irelia,Jax,Leblanc,Galio,MissFortune,Kaisa,Karma,Shen,Khazix,Karthus
686,AurelionSol,Zilean,Renekton,Kassadin,Tristana,Kaisa,Alistar,Nautilus,Gragas,Kindred
690,Pantheon,Rumble,Leblanc,Galio,Kaisa,Lucian,Leona,Braum,Gragas,XinZhao
692,Gangplank,Rengar,Taliyah,Katarina,Tristana,Twitch,Pyke,Janna,Nocturne,Nidalee
698,Riven,Gangplank,Zilean,Qiyana,Tristana,Ashe,Karma,Pyke,Khazix,Karthus
699,Jax,Maokai,Xerath,Zed,Kaisa,Ezreal,Nautilus,Yuumi,Ekko,Karthus
701,Olaf,Fiora,Katarina,Garen,MissFortune,Xayah,Nautilus,Rakan,Ekko,Gragas
704,Sylas,Mordekaiser,TwistedFate,Syndra,Lucian,Draven,Pyke,Rakan,LeeSin,Kayn
706,Darius,Garen,Zed,Akali,Lucian,Chogath,Blitzcrank,Leblanc,Sylas,LeeSin
709,Fiora,Kayle,Ahri,Zoe,Ezreal,Xayah,Blitzcrank,Nami,JarvanIV,Olaf
721,Malphite,Renekton,Olaf,Vladimir,Yasuo,Jhin,Blitzcrank,Volibear,LeeSin,LeeSin
723,Quinn,Darius,Syndra,Leblanc,Xayah,Caitlyn,Nautilus,Morgana,Ekko,Karthus
725,Jayce,Urgot,Yasuo,Cassiopeia,Kaisa,Ashe,Nautilus,Thresh,Nidalee,Elise
731,Mordekaiser,Kled,Qiyana,Camille,Lucian,Ashe,Nautilus,Bard,Ekko,Nidalee
734,Rengar,Riven,Zed,Ahri,Lucian,Caitlyn,Rakan,Pyke,Karthus,LeeSin
741,Zoe,Vladimir,Vayne,Irelia,Lucian,Kaisa,Nami,Pyke,XinZhao,RekSai
743,Swain,Mordekaiser,Ahri,Katarina,Kaisa,Ezreal,Nautilus,Morgana,Elise,Kayn
747,Mordekaiser,Illaoi,Ryze,Ahri,Ashe,Kaisa,Nautilus,Leona,Graves,LeeSin
750,Kennen,Kayle,Shyvana,Pyke,Xayah,Kaisa,Rakan,Nautilus,RekSai,LeeSin
753,Kled,Aatrox,Talon,Jayce,Kaisa,Xayah,Nautilus,Volibear,Nidalee,Ekko
754,Irelia,Jayce,Leblanc,Lulu,Lucian,Ezreal,Nautilus,Morgana,Khazix,Ekko
759,Mordekaiser,Rumble,Chogath,Talon,Lucian,Kaisa,Bard,Blitzcrank,Nidalee,Taliyah
760,Kennen,Jax,Pantheon,Ahri,Kalista,Yasuo,Leona,Pyke,Kayn,LeeSin
764,Riven,Kennen,Zed,Cassiopeia,Xayah,Twitch,Nautilus,Rakan,Ekko,Nidalee
768,Ornn,Renekton,Vladimir,Ryze,Caitlyn,Kaisa,Nautilus,Morgana,Kayn,LeeSin
770,Kennen,Renekton,Cassiopeia,Ekko,Kaisa,Xayah,Pyke,Rakan,LeeSin,Evelynn
773,Vladimir,Jayce,Zed,Ekko,Jinx,Draven,Nautilus,Thresh,Nidalee,Elise
775,Garen,Mordekaiser,Zoe,Sylas,Kaisa,Lucian,Bard,Shen,Elise,JarvanIV
776,Darius,Mordekaiser,Sylas,Malzahar,Kaisa,Lucian,Nautilus,Pyke,Elise,Gragas
777,Renekton,Malzahar,Fizz,Sylas,Ezreal,Kaisa,Yuumi,Blitzcrank,LeeSin,XinZhao
778,Fiora,Camille,Zoe,Ryze,Lucian,MissFortune,Morgana,Nautilus,Taliyah,Kayn
779,Kayle,Garen,Leblanc,Vladimir,Ashe,Xayah,Rakan,Zyra,LeeSin,Elise
780,Yorick,Gangplank,Syndra,Ahri,Kaisa,Xayah,Fiddlesticks,Volibear,Elise,Karthus
782,Fiora,Mordekaiser,Talon,Xerath,Kaisa,Ezreal,Janna,Nautilus,Karthus,Sylas
784,Yorick,Sylas,Syndra,Qiyana,Draven,Lucian,Galio,Nautilus,Gragas,Olaf
